2023-11-01 at 17:53:25 | INFO | Enviando requisição POST
2023-11-01 at 17:53:25 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:53:25 | INFO | Verificando headers
2023-11-01 at 17:53:26 | INFO | Enviando requisição POST
2023-11-01 at 17:53:26 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:53:26 | INFO | Verificando headers
2023-11-01 at 17:53:28 | INFO | Enviando requisição POST
2023-11-01 at 17:53:28 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:53:28 | INFO | Verificando headers
2023-11-01 at 17:53:29 | INFO | Enviando requisição POST
2023-11-01 at 17:53:29 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:53:29 | INFO | Verificando headers
2023-11-01 at 17:53:30 | INFO | Enviando requisição POST
2023-11-01 at 17:53:30 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:53:30 | INFO | Verificando headers
2023-11-01 at 17:53:31 | INFO | Enviando requisição POST
2023-11-01 at 17:53:31 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:54:31 | INFO | Verificando headers
2023-11-01 at 17:54:32 | INFO | Enviando requisição POST
2023-11-01 at 17:54:32 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:54:32 | INFO | Verificando headers
2023-11-01 at 17:54:33 | INFO | Enviando requisição POST
2023-11-01 at 17:54:33 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:54:33 | INFO | Verificando headers
2023-11-01 at 17:54:34 | INFO | Enviando requisição POST
2023-11-01 at 17:54:34 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:54:34 | INFO | Verificando headers
2023-11-01 at 17:54:35 | INFO | Enviando requisição POST
2023-11-01 at 17:54:35 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:54:35 | INFO | Verificando headers
2023-11-01 at 17:54:37 | INFO | Enviando requisição POST
2023-11-01 at 17:54:37 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:54:37 | INFO | Verificando headers
2023-11-01 at 17:54:38 | INFO | Enviando requisição POST
2023-11-01 at 17:54:38 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:54:38 | INFO | Verificando headers
2023-11-01 at 17:54:39 | INFO | Enviando requisição POST
2023-11-01 at 17:54:39 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:54:39 | INFO | Verificando headers
2023-11-01 at 17:54:40 | INFO | Enviando requisição POST
2023-11-01 at 17:54:40 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:54:40 | INFO | Verificando headers
2023-11-01 at 17:54:41 | INFO | Enviando requisição POST
2023-11-01 at 17:54:41 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:54:41 | INFO | Verificando headers
2023-11-01 at 17:54:42 | INFO | Enviando requisição POST
2023-11-01 at 17:54:42 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:54:42 | INFO | Verificando headers
2023-11-01 at 17:54:43 | INFO | Enviando requisição POST
2023-11-01 at 17:54:43 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:54:43 | INFO | Verificando headers
2023-11-01 at 17:54:44 | INFO | Enviando requisição POST
2023-11-01 at 17:54:44 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:54:44 | INFO | Verificando headers
2023-11-01 at 17:54:45 | INFO | Enviando requisição POST
2023-11-01 at 17:54:45 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:54:45 | INFO | Verificando headers
2023-11-01 at 17:54:46 | INFO | Enviando requisição POST
2023-11-01 at 17:54:46 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:54:46 | INFO | Verificando headers
2023-11-01 at 17:54:47 | INFO | Enviando requisição POST
2023-11-01 at 17:54:47 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:54:47 | INFO | Verificando headers
2023-11-01 at 17:54:48 | INFO | Enviando requisição POST
2023-11-01 at 17:54:48 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:54:48 | INFO | Verificando headers
2023-11-01 at 17:54:49 | INFO | Enviando requisição POST
2023-11-01 at 17:54:49 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:54:49 | INFO | Verificando headers
2023-11-01 at 17:54:50 | INFO | Enviando requisição POST
2023-11-01 at 17:54:50 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:54:50 | INFO | Verificando headers
2023-11-01 at 17:54:51 | INFO | Enviando requisição POST
2023-11-01 at 17:54:51 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:54:51 | INFO | Verificando headers
2023-11-01 at 17:54:53 | INFO | Enviando requisição POST
2023-11-01 at 17:54:53 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:54:53 | INFO | Verificando headers
2023-11-01 at 17:54:54 | INFO | Enviando requisição POST
2023-11-01 at 17:54:54 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:54:54 | INFO | Verificando headers
2023-11-01 at 17:54:55 | INFO | Enviando requisição POST
2023-11-01 at 17:54:55 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:54:55 | INFO | Verificando headers
2023-11-01 at 17:54:56 | INFO | Enviando requisição POST
2023-11-01 at 17:54:56 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:54:56 | INFO | Verificando headers
2023-11-01 at 17:54:57 | INFO | Enviando requisição POST
2023-11-01 at 17:54:57 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:54:57 | INFO | Verificando headers
2023-11-01 at 17:54:58 | INFO | Enviando requisição POST
2023-11-01 at 17:54:58 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:54:58 | INFO | Verificando headers
2023-11-01 at 17:54:59 | INFO | Enviando requisição POST
2023-11-01 at 17:54:59 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:54:59 | INFO | Verificando headers
2023-11-01 at 17:55:00 | INFO | Enviando requisição POST
2023-11-01 at 17:55:00 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:55:00 | INFO | Verificando headers
2023-11-01 at 17:55:01 | INFO | Enviando requisição POST
2023-11-01 at 17:55:01 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:55:01 | INFO | Verificando headers
2023-11-01 at 17:55:02 | INFO | Enviando requisição POST
2023-11-01 at 17:55:02 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:55:02 | INFO | Verificando headers
2023-11-01 at 17:55:03 | INFO | Enviando requisição POST
2023-11-01 at 17:55:03 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:55:03 | INFO | Verificando headers
2023-11-01 at 17:55:04 | INFO | Enviando requisição POST
2023-11-01 at 17:55:04 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:55:04 | INFO | Verificando headers
2023-11-01 at 17:55:05 | INFO | Enviando requisição POST
2023-11-01 at 17:55:05 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:55:05 | INFO | Verificando headers
2023-11-01 at 17:55:06 | INFO | Enviando requisição POST
2023-11-01 at 17:55:06 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:55:06 | INFO | Verificando headers
2023-11-01 at 17:55:08 | INFO | Enviando requisição POST
2023-11-01 at 17:55:08 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:55:08 | INFO | Verificando headers
2023-11-01 at 17:55:09 | INFO | Enviando requisição POST
2023-11-01 at 17:55:09 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:55:09 | INFO | Verificando headers
2023-11-01 at 17:55:10 | INFO | Enviando requisição POST
2023-11-01 at 17:55:10 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:55:10 | INFO | Verificando headers
2023-11-01 at 17:55:11 | INFO | Enviando requisição POST
2023-11-01 at 17:55:11 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:55:11 | INFO | Verificando headers
2023-11-01 at 17:55:13 | INFO | Enviando requisição POST
2023-11-01 at 17:55:13 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:55:13 | INFO | Verificando headers
2023-11-01 at 17:55:14 | INFO | Enviando requisição POST
2023-11-01 at 17:55:14 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:55:14 | INFO | Verificando headers
2023-11-01 at 17:55:15 | INFO | Enviando requisição POST
2023-11-01 at 17:55:15 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:55:15 | INFO | Verificando headers
2023-11-01 at 17:55:17 | INFO | Enviando requisição POST
2023-11-01 at 17:55:17 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:55:17 | INFO | Verificando headers
2023-11-01 at 17:55:18 | INFO | Enviando requisição POST
2023-11-01 at 17:55:18 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:55:18 | INFO | Verificando headers
2023-11-01 at 17:55:19 | INFO | Enviando requisição POST
2023-11-01 at 17:55:19 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:55:19 | INFO | Verificando headers
2023-11-01 at 17:55:21 | INFO | Enviando requisição POST
2023-11-01 at 17:55:21 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:55:21 | INFO | Verificando headers
2023-11-01 at 17:55:22 | INFO | Enviando requisição POST
2023-11-01 at 17:55:22 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:55:22 | INFO | Verificando headers
2023-11-01 at 17:55:23 | INFO | Enviando requisição POST
2023-11-01 at 17:55:23 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:55:23 | INFO | Verificando headers
2023-11-01 at 17:55:24 | INFO | Enviando requisição POST
2023-11-01 at 17:55:24 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:55:24 | INFO | Verificando headers
2023-11-01 at 17:55:25 | INFO | Enviando requisição POST
2023-11-01 at 17:55:25 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:55:25 | INFO | Verificando headers
2023-11-01 at 17:55:27 | INFO | Enviando requisição POST
2023-11-01 at 17:55:27 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:55:27 | INFO | Verificando headers
2023-11-01 at 17:55:28 | INFO | Enviando requisição POST
2023-11-01 at 17:55:28 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:56:28 | INFO | Verificando headers
2023-11-01 at 17:56:29 | INFO | Enviando requisição POST
